id,first_name,last_name,email,gender,loyalty_status,education,average_spend_2021,total_spend_2021,most_traveled_city,most_traveled_state
218,Lilli,Calendar,Lilli.Calendar@datascience.aot.com,Female,Gold,PhD,$289.83,"$4,862.62",Cumming,GA
219,Onfroi,Kernock,Onfroi.Kernock@datascience.aot.com,Male,Platnium,High School Diploma,$208.05,"$1,461.17",Dallas,TX
220,Kris,Redmire,Kris.Redmire@datascience.aot.com,Genderfluid,None,Some College,$188.30,"$4,536.78",Springfield,IL
221,Law,Petteford,Law.Petteford@datascience.aot.com,Male,Platnium,High School Diploma,$315.17,$738.44,,
222,Lana,Bartolomeoni,Lana.Bartolomeoni@datascience.aot.com,Female,Silver,PhD,$392.46,"$3,199.98",,
223,Cyrus,Van Hove,Cyrus.Van Hove@datascience.aot.com,Male,Silver,Master Degree,$253.34,"$2,339.46",,
224,Hewie,Breslin,Hewie.Breslin@datascience.aot.com,Male,Silver,High School Diploma,$290.66,"$2,644.97",Orlando,FL
225,Zondra,Christauffour,Zondra.Christauffour@datascience.aot.com,Female,None,,,,Helena,MT
226,Carmel,Tettersell,Carmel.Tettersell@datascience.aot.com,Female,Silver,Master Degree,$291.47,"$2,376.99",Monticello,MN
227,Kordula,Swadlin,Kordula.Swadlin@datascience.aot.com,Genderfluid,None,,,,Bakersfield,CA
228,Adriano,Gard,Adriano.Gard@datascience.aot.com,Male,Platnium,Bachelor Degree,$221.06,"$3,334.97",Peoria,IL
229,Kala,Ovill,Kala.Ovill@datascience.aot.com,Female,Silver,Some College,$273.57,"$3,079.84",New Orleans,LA
230,Idalia,Wickham,Idalia.Wickham@datascience.aot.com,Female,Silver,Some College,$179.28,"$4,929.05",Salt Lake City,UT
231,Madalyn,Arnefield,Madalyn.Arnefield@datascience.aot.com,Female,None,High School Diploma,$367.79,"$4,111.61",Jamaica,NY
232,Calvin,Quaintance,Calvin.Quaintance@datascience.aot.com,Male,None,Master Degree,$330.49,$542.40,Sacramento,CA
233,Fanya,McArdle,Fanya.McArdle@datascience.aot.com,Female,Gold,PhD,$237.20,"$3,485.33",Lake Worth,FL
234,Reggie,Simioli,Reggie.Simioli@datascience.aot.com,Female,Silver,PhD,$386.96,$560.25,Brooklyn,NY
235,Mel,Zorzutti,Mel.Zorzutti@datascience.aot.com,Male,Silver,High School Diploma,$344.43,"$3,636.38",Washington,DC
236,Rick,Quadri,Rick.Quadri@datascience.aot.com,Male,Platnium,,,,Cleveland,OH
237,Colver,Darton,Colver.Darton@datascience.aot.com,Male,Silver,Some College,$273.68,"$3,557.84",Chicago,IL
238,Royal,Earthfield,Royal.Earthfield@datascience.aot.com,Male,Silver,Master Degree,$387.27,"$2,409.56",Kalamazoo,MI
239,Ariadne,Bunhill,Ariadne.Bunhill@datascience.aot.com,Female,Platnium,PhD,$221.34,"$2,102.10",Waco,TX
240,Robinia,Portsmouth,Robinia.Portsmouth@datascience.aot.com,Female,Gold,,,,Rochester,NY
241,Rosamund,Anglim,Rosamund.Anglim@datascience.aot.com,Female,Silver,,,,Kalamazoo,MI
242,Brade,Hearnden,Brade.Hearnden@datascience.aot.com,Male,Silver,Bachelor Degree,$316.30,"$1,662.36",New York City,NY
243,Dominique,Skirvin,Dominique.Skirvin@datascience.aot.com,Non-binary,Silver,Bachelor Degree,$291.09,"$3,345.15",Paterson,NJ
244,Ezmeralda,O'Currane,Ezmeralda.O'Currane@datascience.aot.com,Female,Platnium,High School Diploma,$378.56,"$2,614.63",Springfield,OH
245,Kellen,Kruger,Kellen.Kruger@datascience.aot.com,Male,None,PhD,$247.24,"$1,128.39",Baton Rouge,LA
246,Edna,Gething,Edna.Gething@datascience.aot.com,Female,Platnium,PhD,$377.47,$578.14,El Paso,TX
247,Krystyna,Milligan,Krystyna.Milligan@datascience.aot.com,Female,Platnium,PhD,$348.48,"$2,501.06",Hartford,CT
248,Leisha,Lared,Leisha.Lared@datascience.aot.com,Female,Silver,Bachelor Degree,$336.73,"$2,022.53",Fort Wayne,IN
249,Larisa,Thorrington,Larisa.Thorrington@datascience.aot.com,Female,Silver,PhD,$318.77,$961.25,Redwood City,CA
250,Tessy,Jovovic,Tessy.Jovovic@datascience.aot.com,Female,Platnium,High School Diploma,$289.16,"$4,476.29",New York City,NY
251,Wells,Annetts,Wells.Annetts@datascience.aot.com,Male,Platnium,High School Diploma,$185.05,"$3,398.98",Honolulu,HI
252,Christiano,Vinnicombe,Christiano.Vinnicombe@datascience.aot.com,Bigender,Gold,High School Diploma,$294.09,"$3,074.13",,
253,Duffie,MacTerrelly,Duffie.MacTerrelly@datascience.aot.com,Male,Gold,High School Diploma,$230.00,$483.66,New Haven,CT
254,Asa,Peasby,Asa.Peasby@datascience.aot.com,Male,Platnium,Master Degree,$302.45,"$2,994.18",Winston Salem,NC
255,Federico,Lenard,Federico.Lenard@datascience.aot.com,Male,Gold,High School Diploma,$183.43,"$3,315.98",Washington,DC
256,Gayla,Danne,Gayla.Danne@datascience.aot.com,Female,None,Some College,$207.23,"$3,881.78",Fort Lauderdale,FL
257,Joby,Jerzycowski,Joby.Jerzycowski@datascience.aot.com,Female,None,PhD,$362.04,"$2,390.66",Providence,RI
258,Vasily,Lillegard,Vasily.Lillegard@datascience.aot.com,Male,Gold,Master Degree,$253.35,"$3,845.08",Charleston,WV
259,Aharon,Aizikowitz,Aharon.Aizikowitz@datascience.aot.com,Male,Platnium,High School Diploma,$203.56,"$1,401.40",Boston,MA
260,Margalo,Harpur,Margalo.Harpur@datascience.aot.com,Female,Platnium,Bachelor Degree,$221.83,"$4,534.47",Birmingham,AL
261,Trip,Pepper,Trip.Pepper@datascience.aot.com,Male,None,High School Diploma,$395.79,"$2,185.39",Des Moines,IA
262,Gayle,Penelli,Gayle.Penelli@datascience.aot.com,Female,Platnium,Master Degree,$358.92,"$2,504.33",Provo,UT
263,Pace,Outhwaite,Pace.Outhwaite@datascience.aot.com,Male,None,Bachelor Degree,$299.05,"$1,286.33",Oakland,CA
264,Egon,Pleuman,Egon.Pleuman@datascience.aot.com,Male,Gold,High School Diploma,$179.96,"$3,419.64",Seattle,WA
265,Vi,Cullinan,Vi.Cullinan@datascience.aot.com,Female,None,,,,Saint Louis,MO
266,Mil,Rosi,Mil.Rosi@datascience.aot.com,Female,Platnium,Master Degree,$231.02,"$2,515.99",Littleton,CO
267,Mendy,Matheson,Mendy.Matheson@datascience.aot.com,Male,None,Some College,$155.19,"$4,374.60",Boise,ID
268,Ysabel,Merriott,Ysabel.Merriott@datascience.aot.com,Female,Gold,Bachelor Degree,$152.51,"$2,552.66",Charleston,WV
269,Aile,Clampton,Aile.Clampton@datascience.aot.com,Female,Silver,Some College,$205.20,"$1,196.07",Rochester,MN
270,Franny,Postance,Franny.Postance@datascience.aot.com,Male,None,Bachelor Degree,$394.66,"$1,912.75",Alexandria,VA
271,Emma,Grzelewski,Emma.Grzelewski@datascience.aot.com,Female,None,Some College,$282.78,"$4,594.32",Cincinnati,OH
272,Frederic,Lace,Frederic.Lace@datascience.aot.com,Male,Silver,High School Diploma,$246.10,"$3,454.06",Macon,GA
273,Dorita,Sotworth,Dorita.Sotworth@datascience.aot.com,Female,Gold,High School Diploma,$292.11,"$3,632.24",New York City,NY
274,Merline,MacCallam,Merline.MacCallam@datascience.aot.com,Female,None,Master Degree,$380.03,"$4,812.06",San Antonio,TX
275,Thorin,Danbury,Thorin.Danbury@datascience.aot.com,Male,None,Bachelor Degree,$224.40,"$3,287.60",Falls Church,VA
276,Ban,Margach,Ban.Margach@datascience.aot.com,Genderqueer,Silver,Master Degree,$282.22,"$1,024.00",Sioux Falls,SD
277,Aila,Donson,Aila.Donson@datascience.aot.com,Genderfluid,Platnium,Some College,$381.52,"$1,061.33",Champaign,IL
278,Fawn,Rival,Fawn.Rival@datascience.aot.com,Female,Platnium,Bachelor Degree,$239.23,"$1,675.36",New Orleans,LA
279,Lloyd,Kershow,Lloyd.Kershow@datascience.aot.com,Male,Gold,PhD,$272.67,$903.61,New Castle,PA
280,Nikita,Sabey,Nikita.Sabey@datascience.aot.com,Male,Platnium,Master Degree,$371.29,"$4,603.41",San Antonio,TX
281,Hobard,Oiseau,Hobard.Oiseau@datascience.aot.com,Male,Gold,Bachelor Degree,$150.42,"$3,959.08",Aurora,CO
282,Dasi,Letteresse,Dasi.Letteresse@datascience.aot.com,Female,Silver,Master Degree,$250.63,$672.68,Augusta,GA
283,Alethea,Garwood,Alethea.Garwood@datascience.aot.com,Female,Gold,Some College,$382.16,"$3,840.06",Washington,DC
284,Freeland,Merredy,Freeland.Merredy@datascience.aot.com,Male,Silver,Bachelor Degree,$399.57,"$4,718.01",Albany,NY
285,Rahal,Hanrahan,Rahal.Hanrahan@datascience.aot.com,Female,Platnium,PhD,$329.95,"$4,074.47",Chandler,AZ
286,Vallie,Abelovitz,Vallie.Abelovitz@datascience.aot.com,Female,Gold,,,,Pompano Beach,FL
287,Reynard,Screas,Reynard.Screas@datascience.aot.com,Male,Gold,PhD,$292.78,"$4,100.74",Phoenix,AZ
288,Hartwell,Wilgar,Hartwell.Wilgar@datascience.aot.com,Male,Gold,Bachelor Degree,$336.56,"$1,375.84",Corpus Christi,TX
289,Pepillo,Ivankovic,Pepillo.Ivankovic@datascience.aot.com,Male,Platnium,PhD,$395.77,"$3,819.40",Moreno Valley,CA
290,Austina,Aingel,Austina.Aingel@datascience.aot.com,Female,Silver,Bachelor Degree,$314.31,"$3,854.76",Honolulu,HI
291,Ambrosio,Enbury,Ambrosio.Enbury@datascience.aot.com,Polygender,Silver,Some College,$216.06,"$3,601.25",Reno,NV
292,Consalve,Ailsbury,Consalve.Ailsbury@datascience.aot.com,Male,Platnium,Bachelor Degree,$357.91,"$4,380.24",,
293,Terry,Mulcaster,Terry.Mulcaster@datascience.aot.com,Female,Platnium,Some College,$167.98,"$4,150.57",Glendale,CA
294,Chickie,Veneur,Chickie.Veneur@datascience.aot.com,Male,Platnium,High School Diploma,$162.21,$858.65,,
295,Conant,Swalough,Conant.Swalough@datascience.aot.com,Male,Platnium,Master Degree,$186.55,"$4,048.91",New York City,NY
296,Zsazsa,Itzcovichch,Zsazsa.Itzcovichch@datascience.aot.com,Female,Silver,Bachelor Degree,$310.85,$939.71,Scottsdale,AZ
297,Ranee,Assender,Ranee.Assender@datascience.aot.com,Female,Silver,High School Diploma,$158.14,"$2,080.95",Baltimore,MD
298,Marcellina,MacRirie,Marcellina.MacRirie@datascience.aot.com,Female,None,PhD,$227.46,"$2,774.00",Fort Pierce,FL
299,Edna,Oxteby,Edna.Oxteby@datascience.aot.com,Female,None,Some College,$364.39,"$1,196.28",Port Charlotte,FL
300,Alphonse,Iaduccelli,Alphonse.Iaduccelli@datascience.aot.com,Male,Silver,PhD,$275.74,$402.15,Fort Worth,TX
301,Lona,Dring,Lona.Dring@datascience.aot.com,Female,Silver,Master Degree,$203.12,"$4,603.16",Moreno Valley,CA
302,Lulu,Onslow,Lulu.Onslow@datascience.aot.com,Female,None,High School Diploma,$250.37,"$1,782.96",West Palm Beach,FL
303,Andrej,Kennermann,Andrej.Kennermann@datascience.aot.com,Male,Gold,High School Diploma,$369.87,"$2,172.08",Kansas City,MO
304,Vince,Ellin,Vince.Ellin@datascience.aot.com,Male,Platnium,PhD,$361.55,"$2,816.08",San Francisco,CA
305,Collie,Antonelli,Collie.Antonelli@datascience.aot.com,Non-binary,Platnium,Some College,$367.85,"$3,441.52",Tucson,AZ
306,Julian,Antill,Julian.Antill@datascience.aot.com,Male,Gold,PhD,$168.96,"$2,842.31",Fort Pierce,FL
307,Maridel,MacLure,Maridel.MacLure@datascience.aot.com,Non-binary,None,Some College,$389.99,"$2,602.27",Lexington,KY
308,Elyssa,Mortlock,Elyssa.Mortlock@datascience.aot.com,Female,Silver,High School Diploma,$155.32,"$4,771.03",Birmingham,AL
309,Lynnette,Pedlingham,Lynnette.Pedlingham@datascience.aot.com,Female,Silver,Master Degree,$326.72,"$1,609.78",Salem,OR
310,Hobard,Wem,Hobard.Wem@datascience.aot.com,Male,Silver,High School Diploma,$177.40,"$2,135.07",Monroe,LA
311,Alameda,Castelyn,Alameda.Castelyn@datascience.aot.com,Female,None,PhD,$153.82,"$1,581.79",Philadelphia,PA
312,Ambur,Ormistone,Ambur.Ormistone@datascience.aot.com,Female,None,Some College,$165.30,"$2,201.45",Memphis,TN
313,Petronille,Laverack,Petronille.Laverack@datascience.aot.com,Female,None,High School Diploma,$318.27,"$1,244.17",Alexandria,VA
314,Talyah,Ffoulkes,Talyah.Ffoulkes@datascience.aot.com,Female,Gold,Bachelor Degree,$301.45,"$3,817.80",Pensacola,FL
315,Aundrea,Roseblade,Aundrea.Roseblade@datascience.aot.com,Agender,Platnium,Master Degree,$326.32,"$3,885.64",Greeley,CO
316,Geno,Seven,Geno.Seven@datascience.aot.com,Male,Gold,High School Diploma,$184.96,"$1,358.18",Kansas City,MO
317,Juliette,Giercke,Juliette.Giercke@datascience.aot.com,Female,Platnium,Bachelor Degree,$312.18,"$3,733.41",Austin,TX
318,Jammal,Copp,Jammal.Copp@datascience.aot.com,Male,Gold,PhD,$308.26,"$2,867.62",Dallas,TX
319,Cortney,Jennaroy,Cortney.Jennaroy@datascience.aot.com,Genderqueer,Gold,PhD,$267.86,"$3,638.89",Seattle,WA
320,Candice,Marriner,Candice.Marriner@datascience.aot.com,Female,Gold,Master Degree,$176.85,"$3,383.28",Austin,TX
321,Myron,Faint,Myron.Faint@datascience.aot.com,Male,Silver,Master Degree,$244.10,$508.83,San Diego,CA
322,Jerrome,Pyke,Jerrome.Pyke@datascience.aot.com,Male,None,Some College,$191.89,"$1,596.17",Norfolk,VA
323,Yankee,Persence,Yankee.Persence@datascience.aot.com,Male,Silver,Some College,$324.47,"$4,925.77",Colorado Springs,CO
324,Ber,Hunting,Ber.Hunting@datascience.aot.com,Male,Platnium,Some College,$329.12,"$4,083.19",Atlanta,GA
325,Sheila,Farden,Sheila.Farden@datascience.aot.com,Female,None,High School Diploma,$186.18,"$1,367.73",Topeka,KS
326,Amelia,Mattioni,Amelia.Mattioni@datascience.aot.com,Female,Platnium,PhD,$230.31,$672.26,Macon,GA
327,Chalmers,Swannick,Chalmers.Swannick@datascience.aot.com,Male,Platnium,Bachelor Degree,$175.88,"$4,243.57",Silver Spring,MD
328,Carroll,Yanin,Carroll.Yanin@datascience.aot.com,Female,None,Master Degree,$389.76,"$3,821.74",Fresno,CA
329,Aurea,Buckler,Aurea.Buckler@datascience.aot.com,Female,Silver,High School Diploma,$312.27,"$3,379.25",Oxnard,CA
330,Mendie,Hitcham,Mendie.Hitcham@datascience.aot.com,Male,Silver,High School Diploma,$291.12,"$3,814.58",Phoenix,AZ
331,Jacky,Bletsor,Jacky.Bletsor@datascience.aot.com,Male,Silver,High School Diploma,$393.85,"$4,189.84",Miami,FL
332,Pansy,Dinwoodie,Pansy.Dinwoodie@datascience.aot.com,Female,Silver,Master Degree,$272.05,"$3,961.64",Anniston,AL
333,Gwen,Caines,Gwen.Caines@datascience.aot.com,Female,Platnium,,,,,
334,Galina,McCready,Galina.McCready@datascience.aot.com,Female,None,High School Diploma,$316.40,$775.25,Shawnee Mission,KS
335,Jerrine,Dockerty,Jerrine.Dockerty@datascience.aot.com,Female,None,Bachelor Degree,$255.56,"$3,897.03",New Haven,CT
336,Brigham,Dewey,Brigham.Dewey@datascience.aot.com,Male,Platnium,Bachelor Degree,$376.51,$521.02,Chattanooga,TN
337,Ignacio,Loges,Ignacio.Loges@datascience.aot.com,Male,Platnium,Bachelor Degree,$373.58,"$2,119.58",Tampa,FL
338,Cory,Corstorphine,Cory.Corstorphine@datascience.aot.com,Male,Silver,Bachelor Degree,$323.53,"$3,541.47",Shreveport,LA
339,Armando,Vandenhoff,Armando.Vandenhoff@datascience.aot.com,Polygender,Gold,Master Degree,$390.73,"$4,731.13",Kansas City,MO
340,Wendi,Bracey,Wendi.Bracey@datascience.aot.com,Female,Silver,PhD,$360.64,$812.25,Wilmington,DE
341,Annissa,Byway,Annissa.Byway@datascience.aot.com,Female,Platnium,High School Diploma,$385.16,$437.72,Nashville,TN
342,Rana,Milam,Rana.Milam@datascience.aot.com,Female,Platnium,High School Diploma,$161.66,$436.29,Atlanta,GA
343,Eziechiele,Purselow,Eziechiele.Purselow@datascience.aot.com,Male,Silver,Bachelor Degree,$201.98,"$2,232.30",Pittsburgh,PA
344,Denver,Muat,Denver.Muat@datascience.aot.com,Male,None,Bachelor Degree,$368.57,"$3,296.06",Mansfield,OH
345,Beatriz,Rochford,Beatriz.Rochford@datascience.aot.com,Non-binary,Gold,Bachelor Degree,$376.05,"$2,982.60",,
346,York,Boyet,York.Boyet@datascience.aot.com,Male,Gold,Bachelor Degree,$203.95,$978.87,Tucson,AZ
347,Gabi,Carlile,Gabi.Carlile@datascience.aot.com,Male,Silver,Some College,$314.59,"$2,699.57",Scranton,PA
348,Barnett,Brenston,Barnett.Brenston@datascience.aot.com,Male,Silver,Bachelor Degree,$297.79,"$4,231.99",Pittsburgh,PA
349,Carroll,Shyram,Carroll.Shyram@datascience.aot.com,Female,None,High School Diploma,$364.09,"$1,781.45",Saint Petersburg,FL
350,Vernor,Wormleighton,Vernor.Wormleighton@datascience.aot.com,Male,Silver,PhD,$162.77,"$4,109.18",West Palm Beach,FL
351,Thatcher,Solman,Thatcher.Solman@datascience.aot.com,Male,Platnium,Some College,$297.08,"$4,730.19",New Haven,CT
352,Aryn,Brownlie,Aryn.Brownlie@datascience.aot.com,Bigender,None,PhD,$205.78,"$1,295.07",Jacksonville,FL
353,Clement,Moxom,Clement.Moxom@datascience.aot.com,Male,Silver,High School Diploma,$186.65,$718.51,San Francisco,CA
354,Lacee,Farny,Lacee.Farny@datascience.aot.com,Female,Silver,Bachelor Degree,$392.79,"$2,295.99",Arlington,VA
355,Annabal,Petchell,Annabal.Petchell@datascience.aot.com,Female,None,PhD,$393.68,"$4,904.76",New York City,NY
356,Meredith,Bonnette,Meredith.Bonnette@datascience.aot.com,Male,Gold,Bachelor Degree,$317.27,"$4,736.90",Kansas City,MO
357,Simone,Giorgini,Simone.Giorgini@datascience.aot.com,Male,Platnium,Some College,$303.26,"$1,021.15",Sacramento,CA
358,Kennan,Northwood,Kennan.Northwood@datascience.aot.com,Male,Gold,PhD,$221.72,"$4,519.66",Buffalo,NY
359,Christabel,Colliard,Christabel.Colliard@datascience.aot.com,Female,None,Master Degree,$322.37,"$3,271.76",Midland,MI
360,Juli,Cready,Juli.Cready@datascience.aot.com,Female,Gold,Master Degree,$347.68,"$2,998.32",Philadelphia,PA
361,Natka,Tresise,Natka.Tresise@datascience.aot.com,Genderfluid,Silver,High School Diploma,$355.26,"$4,470.69",Indianapolis,IN
362,Carleen,Laroux,Carleen.Laroux@datascience.aot.com,Female,Gold,Bachelor Degree,$280.62,"$3,271.92",Cleveland,OH
363,Heida,Emm,Heida.Emm@datascience.aot.com,Female,Silver,Master Degree,$212.16,"$1,798.19",Monroe,LA
364,Frederick,Drance,Frederick.Drance@datascience.aot.com,Male,None,Master Degree,$285.28,"$2,540.57",Trenton,NJ
365,Darin,Lafayette,Darin.Lafayette@datascience.aot.com,Male,Platnium,Master Degree,$160.02,"$1,413.83",El Paso,TX
366,Weston,Rands,Weston.Rands@datascience.aot.com,Male,Gold,High School Diploma,$320.83,"$2,301.76",,
367,Charlotte,Jarritt,Charlotte.Jarritt@datascience.aot.com,Female,Silver,High School Diploma,$377.81,"$2,745.09",,
368,Herculie,Missenden,Herculie.Missenden@datascience.aot.com,Male,None,Master Degree,$188.80,"$4,397.54",Tucson,AZ
369,Norton,MacGoun,Norton.MacGoun@datascience.aot.com,Male,Gold,Master Degree,$383.65,$575.43,Houston,TX
370,Adriano,Lewerenz,Adriano.Lewerenz@datascience.aot.com,Male,None,Some College,$341.92,"$4,642.73",Las Vegas,NV
371,Jillayne,Crossgrove,Jillayne.Crossgrove@datascience.aot.com,Female,Silver,PhD,$152.95,"$4,467.14",,
372,Jilleen,Bondar,Jilleen.Bondar@datascience.aot.com,Female,Platnium,Master Degree,$340.85,"$4,887.15",Gainesville,GA
373,Nels,Lomasny,Nels.Lomasny@datascience.aot.com,Male,Platnium,PhD,$214.90,"$3,985.57",Roanoke,VA
374,Nathan,Vernon,Nathan.Vernon@datascience.aot.com,Male,Platnium,High School Diploma,$257.77,"$4,549.95",Santa Cruz,CA
375,Jaimie,Vondra,Jaimie.Vondra@datascience.aot.com,Male,Platnium,PhD,$290.82,$421.00,Kingsport,TN
376,Jodi,Gowanson,Jodi.Gowanson@datascience.aot.com,Bigender,None,Some College,$180.52,"$2,967.26",Louisville,KY
377,Vick,Lodge,Vick.Lodge@datascience.aot.com,Male,None,Some College,$369.81,"$4,385.20",Bloomington,IL
378,Adan,Sancto,Adan.Sancto@datascience.aot.com,Male,Silver,Bachelor Degree,$320.96,"$2,424.80",Birmingham,AL
379,Richie,Dimsdale,Richie.Dimsdale@datascience.aot.com,Male,Platnium,Bachelor Degree,$214.92,"$4,995.03",,
380,Bartolomeo,Claye,Bartolomeo.Claye@datascience.aot.com,Male,None,Master Degree,$305.73,"$2,765.68",Carol Stream,IL
381,Dorine,Ciciotti,Dorine.Ciciotti@datascience.aot.com,Agender,None,Bachelor Degree,$341.00,"$2,491.83",Ridgely,MD
382,Janetta,Ofield,Janetta.Ofield@datascience.aot.com,Female,None,Some College,$267.13,"$1,755.64",Fairbanks,AK
383,Goldie,Dalyell,Goldie.Dalyell@datascience.aot.com,Female,None,High School Diploma,$172.69,"$3,659.57",Sacramento,CA
384,Di,Aylesbury,Di.Aylesbury@datascience.aot.com,Female,None,PhD,$331.53,"$1,711.95",Pittsburgh,PA
385,Wallas,O'Dyvoie,Wallas.O'Dyvoie@datascience.aot.com,Male,None,Some College,$254.75,"$4,339.47",,
386,Angelina,Sturrock,Angelina.Sturrock@datascience.aot.com,Female,Gold,PhD,$213.07,"$2,119.95",Saint Paul,MN
387,Drucy,Rizzelli,Drucy.Rizzelli@datascience.aot.com,Female,Platnium,Master Degree,$342.44,$458.74,Huntsville,AL
388,Krishna,Kryszka,Krishna.Kryszka@datascience.aot.com,Male,Gold,High School Diploma,$191.24,"$1,895.45",Largo,FL
389,Sharai,Chalcot,Sharai.Chalcot@datascience.aot.com,Female,None,High School Diploma,$233.17,"$3,454.03",Albuquerque,NM
390,Dale,Casaccio,Dale.Casaccio@datascience.aot.com,Female,Platnium,High School Diploma,$262.50,$495.89,Charleston,WV
391,Dominga,Schuster,Dominga.Schuster@datascience.aot.com,Bigender,Platnium,Some College,$306.02,"$1,777.89",Baltimore,MD
392,Bernadina,Osbourn,Bernadina.Osbourn@datascience.aot.com,Female,Gold,Some College,$317.36,"$2,871.52",San Jose,CA
393,Arabele,Klaesson,Arabele.Klaesson@datascience.aot.com,Female,None,Bachelor Degree,$151.51,$505.62,Santa Clara,CA
394,Antonin,Hazlewood,Antonin.Hazlewood@datascience.aot.com,Male,Platnium,PhD,$334.83,"$1,860.75",Harrisburg,PA
395,Rois,Flaxon,Rois.Flaxon@datascience.aot.com,Female,Gold,Bachelor Degree,$317.96,"$1,582.84",Baton Rouge,LA
396,Alessandro,Malsher,Alessandro.Malsher@datascience.aot.com,Male,None,Bachelor Degree,$210.98,"$4,875.08",,
397,Maggi,Barock,Maggi.Barock@datascience.aot.com,Female,None,Some College,$288.03,$542.41,Chicago,IL
398,Thurstan,Ebhardt,Thurstan.Ebhardt@datascience.aot.com,Male,Platnium,Master Degree,$157.88,"$4,960.33",El Paso,TX
399,Dud,Robet,Dud.Robet@datascience.aot.com,Male,None,Bachelor Degree,$191.97,"$1,986.84",Houston,TX
400,Gaye,Bizley,Gaye.Bizley@datascience.aot.com,Female,Platnium,High School Diploma,$166.55,"$3,368.06",Oklahoma City,OK
401,Sela,O' Hern,Sela.O' Hern@datascience.aot.com,Female,Gold,PhD,$349.83,"$3,258.92",Los Angeles,CA
402,Brier,Foxwell,Brier.Foxwell@datascience.aot.com,Female,None,PhD,$334.70,"$2,346.42",Indianapolis,IN
403,Wandis,Chasmoor,Wandis.Chasmoor@datascience.aot.com,Female,None,Master Degree,$281.29,"$1,290.91",Greensboro,NC
404,Zonda,Kidney,Zonda.Kidney@datascience.aot.com,Non-binary,Platnium,Master Degree,$158.70,$682.80,Washington,DC
405,Harland,Trengrove,Harland.Trengrove@datascience.aot.com,Male,None,Master Degree,$155.88,"$2,125.25",Kansas City,MO
406,Torrey,Brady,Torrey.Brady@datascience.aot.com,Male,None,High School Diploma,$362.65,"$2,871.62",El Paso,TX
407,Annamarie,Colclough,Annamarie.Colclough@datascience.aot.com,Female,Platnium,Bachelor Degree,$207.55,"$4,022.54",Charlottesville,VA
408,Elfreda,Rens,Elfreda.Rens@datascience.aot.com,Female,None,Bachelor Degree,$204.45,$812.77,Scranton,PA
409,Merwyn,Tomicki,Merwyn.Tomicki@datascience.aot.com,Male,Platnium,,,,Tampa,FL
410,Brena,Boxer,Brena.Boxer@datascience.aot.com,Non-binary,Platnium,Bachelor Degree,$300.97,"$1,805.36",North Hollywood,CA
411,Corene,Whitland,Corene.Whitland@datascience.aot.com,Polygender,Platnium,Some College,$323.91,"$2,169.33",Silver Spring,MD
412,Cody,Easum,Cody.Easum@datascience.aot.com,Male,Gold,High School Diploma,$384.61,"$1,111.12",Port Washington,NY
413,Faulkner,Cradduck,Faulkner.Cradduck@datascience.aot.com,Polygender,Silver,Some College,$156.07,"$3,882.39",San Antonio,TX
414,Melessa,Finby,Melessa.Finby@datascience.aot.com,Genderfluid,Gold,Master Degree,$195.95,"$3,549.51",Washington,DC
415,Ogdan,Habishaw,Ogdan.Habishaw@datascience.aot.com,Male,Platnium,Master Degree,$181.33,"$1,856.44",Springfield,IL
416,Catarina,Anger,Catarina.Anger@datascience.aot.com,Female,Silver,Some College,$172.02,"$1,088.53",,
417,Arin,Rapp,Arin.Rapp@datascience.aot.com,Male,Silver,Master Degree,$281.37,"$3,128.24",Hampton,VA
418,Marie-jeanne,Slowgrave,Marie-jeanne.Slowgrave@datascience.aot.com,Female,Silver,Some College,$300.67,"$2,319.74",Des Moines,IA
419,Alick,Halson,Alick.Halson@datascience.aot.com,Male,Gold,High School Diploma,$240.66,"$2,506.08",Richmond,VA
420,Jae,Banton,Jae.Banton@datascience.aot.com,Male,None,Master Degree,$172.50,"$1,767.48",Jacksonville,FL
421,Andie,Sayburn,Andie.Sayburn@datascience.aot.com,Female,Silver,High School Diploma,$265.90,"$2,229.79",Littleton,CO
422,Bernice,Rutgers,Bernice.Rutgers@datascience.aot.com,Female,Silver,Some College,$327.82,"$1,321.87",,
423,Louis,Dutteridge,Louis.Dutteridge@datascience.aot.com,Polygender,Platnium,Master Degree,$159.05,"$4,810.91",Dallas,TX
424,Keane,Goose,Keane.Goose@datascience.aot.com,Male,None,PhD,$307.82,"$2,364.23",Cambridge,MA
425,Nance,Fattori,Nance.Fattori@datascience.aot.com,Female,Platnium,Master Degree,$246.58,$862.45,Saginaw,MI
426,Cleveland,Divine,Cleveland.Divine@datascience.aot.com,Male,Platnium,PhD,$184.59,"$3,199.59",Los Angeles,CA
427,Terry,Bruckshaw,Terry.Bruckshaw@datascience.aot.com,Male,Platnium,Bachelor Degree,$168.93,"$1,965.97",,
428,Babette,Correa,Babette.Correa@datascience.aot.com,Genderfluid,Silver,Bachelor Degree,$323.35,"$3,628.89",El Paso,TX
429,Emilio,Forshaw,Emilio.Forshaw@datascience.aot.com,Male,None,PhD,$305.61,"$3,233.53",Chicago,IL
430,Brandyn,Rackstraw,Brandyn.Rackstraw@datascience.aot.com,Male,Gold,Bachelor Degree,$170.47,"$4,640.58",,
431,Vinny,Bacup,Vinny.Bacup@datascience.aot.com,Male,Gold,Some College,$390.71,"$2,606.34",Fort Wayne,IN
